iter	Logloss
0	0.4873625293
1	0.3509815132
2	0.2677682152
3	0.2044508774
4	0.1584563647
5	0.1306264586
6	0.1099957611
7	0.08960442671
8	0.07759438471
9	0.06877014433
10	0.06390911087
11	0.05896829067
12	0.0543229336
13	0.05140838244
14	0.04886719083
15	0.04719855612
16	0.04544125063
17	0.04392131028
18	0.04295882925
19	0.04186277261
20	0.04082781018
21	0.03986335601
22	0.03874851123
23	0.03817667981
24	0.03733231127
25	0.03680145298
26	0.03603358256
27	0.03526610098
28	0.03479286438
29	0.03426907543
30	0.03331420404
31	0.03263433624
32	0.03180186988
33	0.03132417606
34	0.03090406861
35	0.03028086956
36	0.02992044231
37	0.02912696688
38	0.02850276071
39	0.02817506077
40	0.02760035464
41	0.02714763789
42	0.02654807605
43	0.02625269274
44	0.02585053594
45	0.02550661736
46	0.02528367446
47	0.02490206843
48	0.02462752447
49	0.02424969076
50	0.02387263234
51	0.02357409344
52	0.02332205494
53	0.02301764779
54	0.02285396013
55	0.0225839229
56	0.02225710723
57	0.02193484722
58	0.02165738755
59	0.02130585902
60	0.02101637386
61	0.02059328144
62	0.02045714151
63	0.02015759889
64	0.01993311208
65	0.0197375707
66	0.01952765303
67	0.01923112302
68	0.0190437336
69	0.01882633974
70	0.01865135172
71	0.01843042771
72	0.01813823584
73	0.01774580191
74	0.01747503099
75	0.01717042141
76	0.01694170881
77	0.01680902361
78	0.01649097763
79	0.01625714573
80	0.01608594521
81	0.01585274626
82	0.01559542659
83	0.01527598843
84	0.01508637461
85	0.01498559825
86	0.01482546629
87	0.01460240859
88	0.01447720111
89	0.01428894378
90	0.01404325894
91	0.01390083627
92	0.01364878087
93	0.01354542697
94	0.01330283407
95	0.01311836028
96	0.01301409623
97	0.01292352659
98	0.01277175484
99	0.01264421549
